date,co,no2,o3,pm25,so2
09/03/2018,38000,80.5,128,263.5,15.5
10/03/2018,36200,58.2,65,267,17
11/03/2018,35800,51.3,60.8,229.6,15.7
12/03/2018,41571.42857,61.14285714,29.71428571,258.4285714,16.57142857
13/03/2018,45666.66667,53.33333333,49.33333333,255.3333333,16.66666667
14/03/2018,66750,80.75,10.75,292.75,21.25
15/03/2018,54000,91.8,30,316.6,18
16/03/2018,34000,58,33.5,285,12
17/03/2018,35666.66667,48,46.66666667,228.3333333,12
18/03/2018,43500,46.25,68.75,212.5,13.25
19/03/2018,38333.33333,48.33333333,53,169,12.33333333
20/03/2018,45250,63.5,43.75,260,16.5
21/03/2018,49750,62.5,40,273,17.5
22/03/2018,44888.88889,75.55555556,56.66666667,277.5555556,20.88888889
23/03/2018,41142.85714,50.42857143,45.28571429,232.8571429,14.71428571
24/03/2018,28200,50.2,80.2,211.6,14.2
25/03/2018,33888.88889,65.55555556,75.22222222,213.8888889,17
26/03/2018,34555.55556,59.11111111,68.66666667,155.7777778,14
27/03/2018,37285.71429,69.14285714,59.85714286,221,18.14285714
28/03/2018,73000,94,18.2,271.8,18.4
29/03/2018,71800,108.8,21,305,23.4
30/03/2018,47500,93.25,8,248.25,23.5
31/03/2018,27000,56.25,25.5,194.75,10.25
01/04/2018,27666.66667,55,30.33333333,104.3333333,8.333333333
02/04/2018,41090.90909,75.09090909,33.18181818,209.3636364,8.727272727
03/04/2018,66555.55556,101.3333333,9.888888889,255.2222222,10.88888889
04/04/2018,59111.11111,103.4444444,16,273.3333333,11.22222222
05/04/2018,40636.36364,78.36363636,25.63636364,225.7272727,10.90909091
06/04/2018,42600,69.2,22.2,184.2,8
07/04/2018,30500,60.8,23.1,193.6,6
08/04/2018,42600,67.4,12.3,110.1,5.5
09/04/2018,52545.45455,73.72727273,16.36363636,209.3636364,6.454545455
16/04/2018,1423.214286,73.81285714,26.27321429,97.65339286,7.096909091
17/04/2018,1269.333333,84.19493333,28.37466667,162.8328,9.2812
18/04/2018,651.875,54.974375,16.343125,144.356875,10.41875
19/04/2018,999.4871795,60.11794872,32.3574359,129.8615385,9.864102564
20/04/2018,1430,108.5671429,8.584285714,213.1371429,23.60857143
26/04/2018,560,52.62933333,23.50622222,121.664,8.926444444
27/04/2018,599.787234,33.04489362,23.25680851,99.5906383,4.389574468
28/04/2018,322.9545455,51.62727273,24.94704545,99.6675,4.286818182
29/04/2018,325.1948052,40.81480519,30.65857143,109.9751948,4.62
30/04/2018,694.7916667,45.02229167,34.815,74.36979167,2.368913043
01/05/2018,320.5555556,41.76266667,24.84588889,64.03422222,3.064777778
02/05/2018,600,38.32144928,25.41057971,66.38550725,2.415362319
03/05/2018,295.2777778,40.23666667,24.13430556,51.97930556,2.957222222
04/05/2018,303.7704918,46.95852459,27.35918033,51.66278689,3.290655738
05/05/2018,450.7272727,37.76254545,24.34545455,80.51327273,2.560689655
19/02/2025,1.271015152,62.47757576,32.31507463,105.8298507,12.92716418
20/02/2025,1.117422222,69.17211111,27.91088889,111.72,8.471888889
21/02/2025,1.067218391,65.29632184,27.41862069,103.9908046,9.044942529
22/02/2025,0.813255556,61.61644444,28.65977778,88.29333333,8.363888889
23/02/2025,1.055644444,61.22255556,28.34488889,79.42222222,23.774
24/02/2025,1.305968967,63.87573034,30.04355556,73.63555556,9.735555556
25/02/2025,1.285068966,72.4172093,29.09918605,80.57209302,7.828837209
26/02/2025,1.052775281,79.04853933,27.96123596,113.8696629,13.09011236
27/02/2025,0.866627907,73.7444186,25.97081395,96.98139535,10.1344186
28/02/2025,0.702633333,71.24022222,27.07255556,120.3211111,14.62466667
01/03/2025,1.244928571,67.46309524,29.14714286,78.90952381,8.038571429
02/03/2025,0.946019608,61.96132075,28.99862745,53.82156863,17.15215686
